Image,X,Y
image0.png,284,157
image1.png,253,69
image2.png,407,209
image3.png,386,228
image4.png,372,177
image5.png,328,238
image6.png,291,127
image7.png,274,162
image8.png,243,106
image9.png,375,131
image10.png,312,100
image11.png,197,171
image12.png,238,178
image13.png,349,108
image14.png,226,130
image15.png,250,151
image16.png,408,79
image17.png,304,213
image18.png,298,134
image19.png,203,85
image20.png,264,88
image21.png,395,65
image22.png,252,90
image23.png,338,217
image24.png,270,132
image25.png,236,173
image26.png,326,250
image27.png,255,138
image28.png,318,189
image29.png,308,142
